"itemcode","usercode","demand_val"
4,6,1
6,45,1
10,67,24
10,102,1
10,12,2
10,53,1
10,95,1
10,50,2
10,103,1
10,75,1
10,15,1
10,67,24
11,103,10
11,170,2
11,102,5
11,12,2
11,50,5
11,106,8
12,4,2
12,162,3
12,169,4
12,174,2
12,92,10
12,182,3
12,173,8
12,172,2
12,173,3
12,171,8
12,160,2
12,160,2
12,159,2
12,169,4
12,188,4
12,175,2
12,153,2
12,162,3
12,184,2
12,175,2
12,162,2
12,174,4
13,4,1
13,174,50
13,159,1
13,188,2
13,169,2
13,174,50
13,162,20
13,160,1
13,175,4
13,173,2
13,153,1
13,173,2
13,175,1
13,172,25
13,169,2
13,160,20
14,173,2
14,173,2
14,188,4
14,117,5
14,188,5
14,160,1
14,162,2
14,169,4
14,174,2
14,159,2
14,169,4
14,175,2
14,92,8
14,175,2
14,162,2
14,172,20
14,171,6
14,50,1
14,162,2
15,81,1
15,6,2
15,170,2
15,117,2
15,188,7
15,106,3
16,12,2
16,170,6
16,50,2
16,92,16
16,188,12
16,106,6
16,85,6
16,15,4
16,103,2
18,15,10
18,103,5
18,12,2
18,29,10
18,75,2
18,188,12
18,66,5
19,15,2
19,66,20
19,174,4
19,102,4
19,103,2
19,85,2
19,81,4
20,50,6
20,88,15
20,75,4
20,75,5
21,170,1
21,12,1
21,95,1
22,78,2
22,61,1
22,15,2
22,53,2
22,108,1
22,50,2
22,78,2
22,95,2
22,53,1
22,50,2
22,103,2
22,106,3
22,50,4
22,6,2
23,173,2
23,174,2
23,162,1
23,78,1
23,173,2
23,188,2
23,169,2
23,174,2
23,117,5
23,78,1
23,162,1
23,162,1
23,169,2
23,153,1
23,159,1
23,160,1
23,171,2
23,175,1
25,88,3
25,182,4
26,102,20
26,81,10
26,92,50
26,6,10
26,66,15
27,88,2
27,162,1
27,15,1
27,81,1
27,169,1
27,66,3
27,75,2
27,188,1
27,103,2
27,106,2
27,169,1
28,75,3
30,88,4
30,75,2
30,106,2
30,92,5
30,66,3
40,170,2
40,88,4
40,12,2
40,188,2
40,81,2
42,92,5
42,50,2
42,78,3
42,66,3
42,15,2
42,102,2
42,75,2
42,6,2
42,188,1
42,88,4
42,106,2
42,50,2
42,78,3
43,6,2
43,50,2
43,78,4
43,6,2
44,53,1
44,78,2
44,170,2
44,50,2
44,15,2
44,6,5
44,92,3
44,103,1
44,6,2
44,85,1
44,78,1
44,12,1
45,78,2
45,106,2
45,95,1
46,75,5
46,75,3
46,170,2
46,12,1
46,106,4
46,6,2
46,6,10
46,6,3
46,102,10
46,66,2
46,95,2
46,92,3
47,106,5
47,66,7
47,95,2
47,92,5
47,78,2
47,75,4
47,6,5
47,6,5
47,103,2
47,75,6
47,15,2
47,88,2
47,12,2
47,106,4
47,170,5
47,102,5
48,106,2
48,45,1
48,66,2
49,75,3
49,108,1
49,6,5
49,12,2
49,12,1
49,170,2
49,95,1
49,66,3
49,6,5
49,15,2
49,50,2
49,6,5
49,88,2
49,50,2
49,106,4
51,95,20
51,66,25
51,12,30
51,117,50
51,6,50
51,6,50
51,172,30
51,53,30
54,188,2
54,174,2
54,159,2
54,160,1
54,92,8
54,153,2
54,171,6
54,160,2
54,173,4
54,172,2
54,175,2
54,173,2
54,175,1
54,162,3
54,184,4
54,162,3
54,169,4
54,117,5
54,4,2
54,174,2
55,174,1
56,102,4
56,61,4
56,106,20
56,50,1
56,12,12
56,103,15
56,75,5
56,170,5
56,15,20
56,6,10
56,6,15
56,85,10
56,50,10
56,12,5
56,106,45
56,92,20
56,53,15
